SESSION NAME:	A GREAT TV SHOW
SAMPLE RATE:	48000,000000
BIT DEPTH:	16-bit
SESSION START TIMECODE:	10:00:00:00
TIMECODE FORMAT:	25 Frame
# OF AUDIO TRACKS:	10
# OF AUDIO CLIPS:	621
# OF AUDIO FILES:	167


T R A C K  L I S T I N G
TRACK NAME:	A1
COMMENTS:	
USER DELAY:	0 Samples
STATE: Hidden Inactive 
CHANNEL 	EVENT   	CLIP NAME                     	START TIME    	END TIME      	DURATION      	STATE
1       	54      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.11-01.A2	10:29:34:09   	10:29:35:08   	00:00:00:24   	Unmuted
1       	55      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.11-03.A2	10:29:35:08   	10:30:27:22   	00:00:52:14   	Unmuted
1       	56      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-06.A2	10:30:27:22   	10:32:08:20   	00:01:40:23   	Unmuted
1       	57      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-04.A2	10:32:08:20   	10:32:52:24   	00:00:44:04   	Unmuted
1       	58      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-05.A2	10:32:52:24   	10:34:17:15   	00:01:24:16   	Unmuted
1       	59      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-03.A2	10:34:17:15   	10:34:38:16   	00:00:21:01   	Unmuted
1       	60      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-07.A2	10:34:38:16   	10:36:49:09   	00:02:10:18   	Unmuted
1       	61      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-01.A2	10:36:49:09   	10:36:52:06   	00:00:02:22   	Unmuted
1       	62      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.12-02.A2	10:36:52:06   	10:37:06:08   	00:00:14:02   	Unmuted
1       	63      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.13-01.A2	10:37:06:08   	10:39:33:12   	00:02:27:04   	Unmuted
1       	64      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.13-02.A2	10:39:33:12   	10:42:27:22   	00:02:54:10   	Unmuted
1       	65      	C0019.new.01-01.A2            	10:42:27:22   	10:42:31:18   	00:00:03:21   	Unmuted
1       	66      	C0018.new.01-01.A2            	10:42:31:18   	10:42:36:20   	00:00:05:02   	Unmuted
1       	67      	C0002.new.02_01-01.A2         	10:42:36:20   	10:43:22:22   	00:00:46:02   	Unmuted
1       	68      	C0002.new.01_01-01.A2         	10:43:22:22   	10:43:32:00   	00:00:09:03   	Unmuted
1       	69      	C0002.new.03_01-01.A2         	10:43:32:00   	10:44:35:00   	00:01:03:00   	Unmuted
1       	70      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-04.A2	10:44:35:00   	10:44:42:01   	00:00:07:01   	Unmuted
1       	71      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-02.A2	10:44:42:01   	10:44:47:02   	00:00:05:01   	Unmuted
1       	72      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-11.A2	10:44:47:02   	10:47:12:06   	00:02:25:04   	Unmuted
1       	73      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-10.A2	10:47:12:06   	10:49:04:02   	00:01:51:21   	Unmuted
1       	74      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-03.A2	10:49:04:02   	10:49:10:13   	00:00:06:11   	Unmuted
1       	75      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-01.A2	10:49:10:13   	10:49:14:04   	00:00:03:16   	Unmuted
1       	76      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-08.A2	10:49:14:04   	10:49:51:08   	00:00:37:04   	Unmuted
1       	77      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-07.A2	10:49:51:08   	10:50:15:01   	00:00:23:18   	Unmuted
1       	78      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-09.A2	10:50:15:01   	10:50:57:05   	00:00:42:04   	Unmuted
1       	79      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-06.A2	10:50:57:05   	10:51:07:16   	00:00:10:11   	Unmuted
1       	80      	story_cs_CH09_RK02_3_4_2018_16_10_1.new.14-05.A2	10:51:07:16   	10:51:15:06   	00:00:07:15   	Unmuted
1       	81      	C0019.new.02-03.A4            	10:51:15:06   	10:51:25:11   	00:00:10:05   	Unmuted
